"Time","Absolute Pressure (mb)"
2021-08-06 00:00:00,849
2021-08-06 00:20:00,848
2021-08-06 00:40:00,848
2021-08-06 01:00:00,848
2021-08-06 01:20:00,848
2021-08-06 01:40:00,848
2021-08-06 02:00:00,848
2021-08-06 02:20:00,848
2021-08-06 02:40:00,848
2021-08-06 03:00:00,848
2021-08-06 03:20:00,848
2021-08-06 03:40:00,846
2021-08-06 04:00:00,846
2021-08-06 04:20:00,845
2021-08-06 04:40:00,845
2021-08-06 05:00:00,846
2021-08-06 05:20:00,846
2021-08-06 05:40:00,846
2021-08-06 06:00:00,847
2021-08-06 06:20:00,847
2021-08-06 06:40:00,848
2021-08-06 07:00:00,848
2021-08-06 07:20:00,848
2021-08-06 07:40:00,849
2021-08-06 08:00:00,848
2021-08-06 08:20:00,848
2021-08-06 08:40:00,848
2021-08-06 09:00:00,848
2021-08-06 09:20:00,847
2021-08-06 09:40:00,847
2021-08-06 10:00:00,846
2021-08-06 10:20:00,846
2021-08-06 10:40:00,846
2021-08-06 11:00:00,847
2021-08-06 11:20:00,847
2021-08-06 11:40:00,847
2021-08-06 12:00:00,847
2021-08-06 12:20:00,847
2021-08-06 12:40:00,847
2021-08-06 13:00:00,847
2021-08-06 13:20:00,847
2021-08-06 13:40:00,846
2021-08-06 14:00:00,846
2021-08-06 14:20:00,846
2021-08-06 14:40:00,846
2021-08-06 15:00:00,846
2021-08-06 15:20:00,846
2021-08-06 15:40:00,846
2021-08-06 16:00:00,846
2021-08-06 16:20:00,845
2021-08-06 16:40:00,846
2021-08-06 17:00:00,846
2021-08-06 17:20:00,846
2021-08-06 17:40:00,846
2021-08-06 18:00:00,846
2021-08-06 18:20:00,847
2021-08-06 18:40:00,847
2021-08-06 19:00:00,847
2021-08-06 19:20:00,847
2021-08-06 19:40:00,847
2021-08-06 20:00:00,848
2021-08-06 20:20:00,848
2021-08-06 20:40:00,848
2021-08-06 21:00:00,848
2021-08-06 21:20:00,848
2021-08-06 21:40:00,848
2021-08-06 22:00:00,849
2021-08-06 22:20:00,849
2021-08-06 22:40:00,849
2021-08-06 23:00:00,849
2021-08-06 23:20:00,849
2021-08-06 23:40:00,849
2021-08-07 00:00:00,849
2021-08-07 00:20:00,849
2021-08-07 00:40:00,849
2021-08-07 01:00:00,849
2021-08-07 01:20:00,849
2021-08-07 01:40:00,849
2021-08-07 02:00:00,849
2021-08-07 02:20:00,849
2021-08-07 02:40:00,849
2021-08-07 03:00:00,849
2021-08-07 03:20:00,849
2021-08-07 03:40:00,849
2021-08-07 04:00:00,849
2021-08-07 04:20:00,849
2021-08-07 04:40:00,849
2021-08-07 05:00:00,849
2021-08-07 05:20:00,849
2021-08-07 05:40:00,849
2021-08-07 06:00:00,849
2021-08-07 06:20:00,849
2021-08-07 06:40:00,849
2021-08-07 07:00:00,849
2021-08-07 07:20:00,850
2021-08-07 07:40:00,850
2021-08-07 08:00:00,850
2021-08-07 08:20:00,850
2021-08-07 08:40:00,850
2021-08-07 09:00:00,849
2021-08-07 09:20:00,849
2021-08-07 09:40:00,849
2021-08-07 10:00:00,849
2021-08-07 10:20:00,849
2021-08-07 10:40:00,849
2021-08-07 11:00:00,849
2021-08-07 11:20:00,848
2021-08-07 11:40:00,848
2021-08-07 12:00:00,848
2021-08-07 12:20:00,848
2021-08-07 12:40:00,848
2021-08-07 13:00:00,848
2021-08-07 13:20:00,847
2021-08-07 13:40:00,847
2021-08-07 14:00:00,847
2021-08-07 14:20:00,847
2021-08-07 14:40:00,846
2021-08-07 15:00:00,846
2021-08-07 15:20:00,846
2021-08-07 15:40:00,846
2021-08-07 16:00:00,845
2021-08-07 16:20:00,845
2021-08-07 16:40:00,845
2021-08-07 17:00:00,845
2021-08-07 17:20:00,845
2021-08-07 17:40:00,845
2021-08-07 18:00:00,845
2021-08-07 18:20:00,845
2021-08-07 18:40:00,844
2021-08-07 19:00:00,844
2021-08-07 19:20:00,844
2021-08-07 19:40:00,844
2021-08-07 20:00:00,844
2021-08-07 20:20:00,844
2021-08-07 20:40:00,844
2021-08-07 21:00:00,844
2021-08-07 21:20:00,844
2021-08-07 21:40:00,844
